customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,earned_points,updated_loyalty_points
1,Diya,diya1@mail.com,Bronze,204,2025-01-01,9,8573.925,8777.925
2,Anaya,anaya2@mail.com,Bronze,4837,2025-01-05,10,9850.675,14687.675
3,Aarav,aarav3@mail.com,Silver,4597,2025-01-02,8,13667.41,18264.41
4,Aman,aman4@mail.com,Bronze,2278,2025-01-06,7,18968.7,21246.7
5,Rahul,rahul5@mail.com,Platinum,2276,2025-01-01,7,10869.9,13145.9
6,Diya,diya6@mail.com,Silver,2940,2025-01-06,8,13040.185,15980.185
7,Pooja,pooja7@mail.com,Bronze,1022,2025-01-07,10,11521.935,12543.935
8,Priya,priya8@mail.com,Bronze,4729,2025-01-07,5,8110.35,12839.35
9,Anaya,anaya9@mail.com,Bronze,1907,2025-01-07,6,13748.53,15655.53
10,Isha,isha10@mail.com,Silver,3032,2025-01-06,2,22692.004999999997,25724.004999999997
11,Ritika,ritika11@mail.com,Gold,5201,2025-01-04,5,26412.005,31613.005
12,Pooja,pooja12@mail.com,Gold,1799,2025-01-02,1,5546.715,7345.715
13,Rahul,rahul13@mail.com,Bronze,3286,2025-01-06,6,6681.18,9967.18
14,Rohan,rohan14@mail.com,Gold,5369,2025-01-02,5,27978.879999999997,33347.88
15,Arjun,arjun15@mail.com,Silver,2020,2025-01-04,10,24065.27,26085.27
16,Aditya,aditya16@mail.com,Platinum,2965,2025-01-01,1,0.0,2965.0
17,Diya,diya17@mail.com,Gold,1252,2025-01-01,7,15256.134999999998,16508.135
18,Aditya,aditya18@mail.com,Silver,4881,2025-01-07,1,10231.244999999999,15112.244999999999
19,Diya,diya19@mail.com,Gold,5584,2025-01-03,2,0.0,5584.0
20,Meera,meera20@mail.com,Bronze,3561,2025-01-06,5,18836.455,22397.455
21,Siddharth,siddharth21@mail.com,Bronze,1463,2025-01-07,9,6029.54,7492.54
22,Ritika,ritika22@mail.com,Gold,1629,2025-01-07,9,5224.805,6853.805
23,Aarav,aarav23@mail.com,Bronze,4906,2025-01-07,5,5847.53,10753.529999999999
24,Saanvi,saanvi24@mail.com,Silver,474,2025-01-06,8,17513.51,17987.51
25,Anaya,anaya25@mail.com,Bronze,4363,2025-01-05,3,6389.575000000001,10752.575
26,Kabir,kabir26@mail.com,Silver,4322,2025-01-05,4,15148.79,19470.79
27,Meera,meera27@mail.com,Silver,3268,2025-01-05,8,4591.595,7859.595
28,Diya,diya28@mail.com,Bronze,2030,2025-01-02,10,16447.61,18477.61
29,Saanvi,saanvi29@mail.com,Silver,58,2025-01-01,6,9332.15,9390.15
30,Anaya,anaya30@mail.com,Silver,4211,2025-01-02,10,12480.34,16691.34
31,Aman,aman31@mail.com,Silver,3872,2025-01-01,2,16152.79,20024.79
32,Nisha,nisha32@mail.com,Silver,2902,2025-01-06,2,9707.205,12609.205
33,Vihaan,vihaan33@mail.com,Gold,3298,2025-01-02,4,28006.245000000003,31304.245000000003
34,Pooja,pooja34@mail.com,Bronze,3675,2025-01-07,2,27585.2,31260.2
35,Kunal,kunal35@mail.com,Silver,4508,2025-01-01,2,13149.0,17657.0
36,Saanvi,saanvi36@mail.com,Silver,1362,2025-01-01,3,-4981.775,-3619.7749999999996
37,Aditya,aditya37@mail.com,Bronze,17,2025-01-04,5,3345.65,3362.65
38,Nisha,nisha38@mail.com,Platinum,5706,2025-01-06,8,8522.71,14228.71
39,Arjun,arjun39@mail.com,Platinum,1555,2025-01-05,1,-4655.4349999999995,-3100.4349999999995
40,Rahul,rahul40@mail.com,Silver,468,2025-01-05,3,3098.04,3566.04
41,Vihaan,vihaan41@mail.com,Bronze,4160,2025-01-06,4,5203.595,9363.595000000001
42,Aditya,aditya42@mail.com,Silver,982,2025-01-01,10,15627.91,16609.91
43,Anaya,anaya43@mail.com,Silver,3434,2025-01-03,4,26270.435,29704.435
44,Rahul,rahul44@mail.com,Bronze,1955,2025-01-04,6,8086.32,10041.32
45,Anaya,anaya45@mail.com,Platinum,76,2025-01-01,9,14525.550000000001,14601.550000000001
46,Rohan,rohan46@mail.com,Platinum,4144,2025-01-02,6,29787.315,33931.315
47,Meera,meera47@mail.com,Silver,1292,2025-01-07,9,19648.965,20940.965
48,Aarav,aarav48@mail.com,Bronze,5471,2025-01-02,5,4419.95,9890.95
49,Diya,diya49@mail.com,Bronze,876,2025-01-02,6,3243.75,4119.75
50,Rohan,rohan50@mail.com,Bronze,5631,2025-01-07,1,3643.715,9274.715
51,Anaya,anaya51@mail.com,BRONZE,5196,2025-01-07,3,-1489.64,3706.3599999999997
52,Kabir,kabir52@mail.com,Silver,1323,2025-01-01,2,8685.2,10008.2
53,Anaya,anaya53@mail.com,Silver,5660,2025-01-05,9,12235.035,17895.035
54,Arjun,arjun54@mail.com,Bronze,3520,2025-01-07,1,7358.775,10878.775
55,Priya,priya55@mail.com,Silver,1720,2025-01-05,7,6809.35,8529.35
56,Ritika,ritika56@mail.com,Bronze,1266,2025-01-07,3,24445.75,25711.75
57,Nisha,nisha57@mail.com,Platinum,203,2025-01-04,4,10019.645,10222.645
58,Kabir,kabir58@mail.com,Bronze,1304,2025-01-07,8,27133.475000000002,28437.475000000002
59,Saanvi,saanvi59@mail.com,Silver,1634,2025-01-07,4,10604.805,12238.805
60,Saanvi,saanvi60@mail.com,Bronze,193,2025-01-01,5,1582.98,1775.98
61,Priya,priya61@mail.com,Silver,5255,2025-01-03,1,2046.07,7301.07
